ホテル・旅館名,住所・エリア名,最低価格,レビュー評価,詳細リンク
帝国ホテル 東京,帝国ホテル 東京,"2名税込15,200円〜",世界的権威のあるトラベルガイド「フォーブス・トラベルガイド」のホテル部門にて、2016年に日系ホテルとして初めて5つ星を獲得して以降、毎年連続で5つ星の評価を獲得。2025年には、「ミシュランガイド」が発表するホテルの卓越性を示すミシュランキーにて最高評価である3ミシュランキーに2年連続で選ばれました。落ち着きと品格に満ちた「最上質の日本」が体験できるパレスホテル東京は、都心にありながら豊かな水と緑が溢れる丸の内1-1-1に佇みます。約6割の客室がバルコニー付き。窓を開け外に出ると、皇居外苑の豊かな緑が楽しめます。700点以上のアート作品に彩られた館内には、「ミシュランガイド東京2025」一つ星レストランであるフランス料理 エステール by アラン・デュカスをはじめ、会席の名店として長年多くの方々から愛される日本料理 和田倉や、和田倉濠に面したテラス席が人気のオールデイダイニング グランド キッチンなど、10の多彩なレストラン&バー、2024年より「フォーブス・トラベルガイド」のスパ部門にて5つ星の評価を得続けている、日本唯一のエビアン スパ 東京を備えています。世界が認めたラグジュアリーホテル パレスホテル東京でぜひ、上質な一日をお過ごしください。,https://www.ikyu.com/00000315/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ・ペニンシュラ東京,ザ・ペニンシュラ東京,"2名税込127,520円〜",米国の権威のある雑誌「フォーブス・トラベルガイド」のホテル部門にて最高ランク5つ星を8年連続で受賞するザ・ペニンシュラ東京は、皇居外苑と日比谷公園に面し、緑豊かな環境でありながら、銀座まで徒歩圏内という最高のロケーションです。和のテイストをとりいれたコンテンポラリーな客室に加え、アフタヌーンティーが代表的な「ザ・ロビー」や、本格的な広東料理をお楽しみいただける中国料理「ヘイフンテラス」、最上階の24階にて景色とお食事をご堪能いただけるモダンフレンチ「Peter」、そして贅沢で深いリラクゼーションに浸っていただける「ザ・ペニンシュラ スパ＆ウェルネスセンター」など、伝説的とも称されるペニンシュラ・ホスピタリティと共に、ペニンシュラならではのくつろぎの時間をご提供いたします。東京メトロ・都営地下鉄 日比谷駅に直結し、東京駅も近く、徒歩圏内には日生劇場や東京宝塚劇場、出光美術館など文化的な施設が点在しています。また、オフィス街でありながら、様々な個性的なショップが集まる丸の内エリアに位置し、一流ブランドやデパートが建ち並ぶ銀座・有楽町も至近で、ビジネスにもレジャーにも理想的な立地です。,https://www.ikyu.com/00001279/?discsort=1&lc=1&ppc=2&rc=1&st=1
品川プリンスホテル,東京都・品川駅（高輪口）より徒歩にて2分,"2名税込13,371円〜",評価なし,https://www.ikyu.com/00000660/?discsort=1&lc=1&ppc=2&rc=1&st=1
東京ステーションホテル,東京都・東京駅丸の内南口直結,"2名税込53,436円〜",評価なし,https://www.ikyu.com/00001833/?discsort=1&lc=1&ppc=2&rc=1&st=1
セルリアンタワー東急ホテル,東京都・渋谷駅徒歩5分,"2名税込56,904円〜",評価なし,https://www.ikyu.com/00000355/?discsort=1&lc=1&ppc=2&rc=1&st=1
The Okura Tokyo,The Okura Tokyo,"2名税込89,570円〜",評価なし,https://www.ikyu.com/00002620/?discsort=1&lc=1&ppc=2&rc=1&st=1
丸ノ内ホテル,東京都・東京駅丸の内北口 徒歩1分,"2名税込45,600円〜",評価なし,https://www.ikyu.com/00000816/?discsort=1&lc=1&ppc=2&rc=1&st=1
ふふ 東京 銀座,東京都・銀座一丁目,"2名税込89,350円〜",評価なし,https://www.ikyu.com/00003383/?discsort=1&lc=1&ppc=2&rc=1&st=1
東京ドームホテル,東京都・水道橋駅 徒歩2分,"2名税込20,350円〜",評価なし,https://www.ikyu.com/00000171/?discsort=1&lc=1&ppc=2&rc=1&st=1
グランドニッコー東京 台場,東京都・お台場,"2名税込22,640円〜",評価なし,https://www.ikyu.com/00000065/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテル椿山荘東京,東京都・江戸川橋,"2名税込42,274円〜",評価なし,https://www.ikyu.com/00000186/?discsort=1&lc=1&ppc=2&rc=1&st=1
シャングリ・ラ 東京,東京都・丸の内・東京駅隣接,"2名税込91,335円〜",評価なし,https://www.ikyu.com/00001425/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルニューオータニ,東京都・赤坂見附駅 徒歩3分,"2名税込41,810円〜",評価なし,https://www.ikyu.com/00002130/?discsort=1&lc=1&ppc=2&rc=1&st=1
パレスホテル東京,東京都・丸の内／大手町地下通路直結,"2名税込94,218円〜",世界的権威のあるトラベルガイド「フォーブス・トラベルガイド」のホテル部門にて、2016年に日系ホテルとして初めて5つ星を獲得して以降、毎年連続で5つ星の評価を獲得。2025年には、「ミシュランガイド」が発表するホテルの卓越性を示すミシュランキーにて最高評価である3ミシュランキーに2年連続で選ばれました。落ち着きと品格に満ちた「最上質の日本」が体験できるパレスホテル東京は、都心にありながら豊かな水と緑が溢れる丸の内1-1-1に佇みます。約6割の客室がバルコニー付き。窓を開け外に出ると、皇居外苑の豊かな緑が楽しめます。700点以上のアート作品に彩られた館内には、「ミシュランガイド東京2025」一つ星レストランであるフランス料理 エステール by アラン・デュカスをはじめ、会席の名店として長年多くの方々から愛される日本料理 和田倉や、和田倉濠に面したテラス席が人気のオールデイダイニング グランド キッチンなど、10の多彩なレストラン&バー、2024年より「フォーブス・トラベルガイド」のスパ部門にて5つ星の評価を得続けている、日本唯一のエビアン スパ 東京を備えています。世界が認めたラグジュアリーホテル パレスホテル東京でぜひ、上質な一日をお過ごしください。,https://www.ikyu.com/00001806/?discsort=1&lc=1&ppc=2&rc=1&st=1
ラビスタ東京ベイ（共立リゾート）,東京都・豊洲,"2名税込18,780円〜",評価なし,https://www.ikyu.com/00002992/?discsort=1&lc=1&ppc=2&rc=1&st=1
グランドプリンスホテル新高輪,東京都・JR品川駅徒歩約5分,"2名税込22,562円〜",評価なし,https://www.ikyu.com/00000644/?discsort=1&lc=1&ppc=2&rc=1&st=1
フェアモント東京,東京都・港区,"2名税込103,540円〜",評価なし,https://www.ikyu.com/00003324/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ・プリンス パークタワー東京,東京都・都営三田線「芝公園駅」A4出口徒歩3分,"2名税込42,930円〜",評価なし,https://www.ikyu.com/00000946/?discsort=1&lc=1&ppc=2&rc=1&st=1
リッチモンドホテルプレミア東京スコーレ,リッチモンドホテルプレミア東京スコーレ,"2名税込15,040円〜",評価なし,https://www.ikyu.com/00081056/?discsort=1&lc=1&ppc=2&rc=1&st=1
リーガロイヤルホテル東京,東京都・早稲田,"2名税込15,200円〜",評価なし,https://www.ikyu.com/00000089/?discsort=1&lc=1&ppc=2&rc=1&st=1
人気のこだわり,ホテル,円,評価なし,https://www.ikyu.com/theme/a140000/
ホテルメトロポリタン 羽田,東京都・大田区,"2名税込44,884円〜",ハイアットが手がける日本初のラグジュアリー ライフスタイルホテル「アンダーズ 東京」。アンダーズは、ヒンディ語で「パーソナル スタイル」を意味し、まるで自宅にいるかのように、自分らしく自然体で過ごしていただけるよう、形式にとらわれず肩肘張らないおもてなしを提供します。虎ノ門ヒルズの最上階を含む47～52階に位置し、東京タワーや皇居、東京スカイツリーなど東京のあらゆるランドマークを一望できるパノラミックな眺望をご堪能いただけます。丸の内、銀座、六本木エリアからも程近くビジネス・レジャーの拠点にも最適です。,https://www.ikyu.com/00003089/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ・キャピトルホテル 東急,東京都・溜池山王駅・国会議事堂前駅直結,"2名税込114,054円〜",評価なし,https://www.ikyu.com/00001639/?discsort=1&lc=1&ppc=2&rc=1&st=1
ジャヌ東京,東京都・港区,"朝食付2名税込161,162円〜",評価なし,https://www.ikyu.com/00003197/?discsort=1&lc=1&ppc=2&rc=1&st=1
第一ホテル東京,東京都・JR「新橋駅」日比谷口から徒歩約2分,"2名税込25,740円〜",評価なし,https://www.ikyu.com/00000177/?discsort=1&lc=1&ppc=2&rc=1&st=1
グランドプリンスホテル高輪,東京都・JR品川駅徒歩約5分,"2名税込19,340円〜",史跡が点在する日本庭園の緑と和が織りなす「過ごす時」,https://www.ikyu.com/00000646/?discsort=1&lc=1&ppc=2&rc=1&st=1
ヒルトン東京お台場,東京都・お台場,"2名税込27,866円〜",評価なし,https://www.ikyu.com/00000104/?discsort=1&lc=1&ppc=2&rc=1&st=1
アマン東京,東京都・大手町・丸の内・大手町駅直結,"朝食付2名税込347,116円〜",評価なし,https://www.ikyu.com/00002119/?discsort=1&lc=1&ppc=2&rc=1&st=1
マンダリン オリエンタル 東京,東京都・日本橋／三越前駅直結,"2名税込145,665円〜",評価なし,https://www.ikyu.com/00001050/?discsort=1&lc=1&ppc=2&rc=1&st=1
日本青年館ホテル,東京都・外苑前,"2名税込16,000円〜",神宮外苑の自然と静寂に包まれたビジネス・観光の拠点,https://www.ikyu.com/00002481/?discsort=1&lc=1&ppc=2&rc=1&st=1
三井ガーデンホテル神宮外苑の杜プレミア,東京都・神宮外苑,"2名税込18,985円〜",評価なし,https://www.ikyu.com/00002617/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルモントレ　ラ・スール　ギンザ,東京都・銀座一丁目,"2名税込13,600円〜",評価なし,https://www.ikyu.com/00000196/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルメトロポリタン　エドモント,東京都・水道橋／飯田橋駅徒歩5分,"2名税込13,192円〜",評価なし,https://www.ikyu.com/00000618/?discsort=1&lc=1&ppc=2&rc=1&st=1
SORANO HOTEL,東京都・立川市,"2名税込27,742円〜",評価なし,https://www.ikyu.com/00003297/?discsort=1&lc=1&ppc=2&rc=1&st=1
アンダーズ 東京,東京都・虎ノ門ヒルズ 森タワー,"2名税込96,838円〜",ハイアットが手がける日本初のラグジュアリー ライフスタイルホテル「アンダーズ 東京」。アンダーズは、ヒンディ語で「パーソナル スタイル」を意味し、まるで自宅にいるかのように、自分らしく自然体で過ごしていただけるよう、形式にとらわれず肩肘張らないおもてなしを提供します。虎ノ門ヒルズの最上階を含む47～52階に位置し、東京タワーや皇居、東京スカイツリーなど東京のあらゆるランドマークを一望できるパノラミックな眺望をご堪能いただけます。丸の内、銀座、六本木エリアからも程近くビジネス・レジャーの拠点にも最適です。,https://www.ikyu.com/00002011/?discsort=1&lc=1&ppc=2&rc=1&st=1
ロイヤルパークホテル,東京都・日本橋・水天宮前駅直結,"2名税込29,568円〜",評価なし,https://www.ikyu.com/00000103/?discsort=1&lc=1&ppc=2&rc=1&st=1
ブルガリ ホテル 東京,東京都・中央区,"ポイント2%（4,554円分）獲得",評価なし,https://www.ikyu.com/00003044/?discsort=1&lc=1&ppc=2&rc=1&st=1
THE BLOSSOM HIBIYA（ザ ブラッサム 日比谷）,東京都・新橋,"2名税込33,810円〜",評価なし,https://www.ikyu.com/00002653/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルモントレ銀座,東京都・銀座二丁目,"2名税込14,630円〜",評価なし,https://www.ikyu.com/00000272/?discsort=1&lc=1&ppc=2&rc=1&st=1
ヴィラフォンテーヌ グランド 羽田空港｜住友不動産,東京都・羽田空港,"2名税込16,724円〜",評価なし,https://www.ikyu.com/00002768/?discsort=1&lc=1&ppc=2&rc=1&st=1
京王プラザホテル,東京都・新宿西口,"2名税込44,884円〜",評価なし,https://www.ikyu.com/00000187/?discsort=1&lc=1&ppc=2&rc=1&st=1
周辺都市,中央区,不明,評価なし,https://www.ikyu.com/tokyo/pr13/ct13002000/?adc=1&adcid=202550369&adgid=12503541209&discsort=1&ikCo=google&lc=1&per_page=20&pn=1&ppc=2&rc=1&si=6
